filename,sp_lat_1,sp_lat_2,origin_lat,origin_lon,tl_lat,tl_lon,bl_lat,bl_lon,tr_lat,tr_lon,br_lat,br_lon
05496VB.PDF,40.6666666666667,35.3333333333333,39.6875833333333,-74.9570833333333,40.0805024,-75.3617163,39.1361806,-75.3564408,40.0805283,-74.5603026,39.1362063,-74.5654758
06784R7.PDF,44.6666666666667,39.3333333333333,40.9193055555556,-75.1194166666667,41.3250897,-75.5462509,40.3808013,-75.5400941,41.3252218,-74.7293040,40.3809315,-74.7349311
06784R25.PDF,44.6666666666667,39.3333333333333,41.0153888888889,-74.8929444444444,41.4242314,-75.2483244,40.4799243,-75.2431905,41.4238449,-74.4301237,40.4795435,-74.4368097
05275R4.PDF,45.0,33.0,40.7874444444444,-74.3463888888889,41.1850160,-74.8277750,40.2367345,-74.8212184,41.1855074,-74.0094715,40.2372195,-74.0140604
05275R10.PDF,45.0,33.0,40.8659166666667,-74.4089444444444,41.2915586,-74.8755403,40.3433460,-74.8691754,41.2919451,-74.0559653,40.3437274,-74.0607804
05275R22.PDF,45.0,33.0,40.9583611111111,-74.2184722222222,41.3756557,-74.6892570,40.4275006,-74.6828272,41.3760671,-73.8686750,40.4279067,-73.8734524
05275L22.PDF,45.0,33.0,40.8833333333333,-74.2833333333333,41.3667034,-74.6581225,40.4185376,-74.6530044,41.3664623,-73.8376516,40.4182996,-73.8437377
06333R9.PDF,45.0,33.0,39.6777222222222,-75.15775,40.0849495,-75.5849578,39.1361412,-75.5792297,40.0851164,-74.7795568,39.1363059,-74.7846277
05714R3.PDF,45.0,33.0,39.6674722222222,-74.7577222222222,39.9633660,-75.1895983,39.0145217,-75.1838175,39.9635694,-74.3855975,39.0147224,-74.3905785
05714VB.PDF,45.0,33.0,39.7263333333333,-74.6706111111111,40.1053059,-75.1461935,39.1565065,-75.1398149,40.1058013,-74.3405558,39.1569954,-74.3449826
05611R6.PDF,45.0,33.0,40.0071944444444,-74.265,40.4095736,-74.6794959,39.4608824,-74.6739126,40.4096411,-73.8703319,39.4609490,-73.8756481
05611R24.PDF,45.0,33.0,40.1258611111111,-74.0896111111111,40.5059364,-74.5598070,39.5572888,-74.5534647,40.5063791,-73.7495168,39.5577258,-73.7541043
06637R1.PDF,45.0,33.0,40.8680555555556,-74.3060833333333,41.3029996,-74.7430462,40.3547931,-74.7370845,41.3031840,-73.9233354,40.3549751,-73.9285574
06637R19.PDF,45.0,33.0,41.0455277777778,-74.2919444444444,41.4417614,-74.7105572,40.4936503,-74.7048345,41.4418154,-73.8891839,40.4937035,-73.8946899
06291GA.PDF,45.0,33.0,40.5373888888889,-74.3408888888889,40.9694333,-74.7492009,40.0210173,-74.7436567,40.9694363,-73.9334614,40.0210203,-73.9389935
05529R1.PDF,45.0,33.0,39.8708611111111,-74.8039444444444,40.2462889,-75.1705026,39.2975325,-75.1655764,40.2460365,-74.3632380,39.2972835,-74.3691606
05529R19.PDF,45.0,33.0,40.0074444444444,-74.8110555555556,40.4288467,-75.1740639,39.4801612,-75.1691728,40.4285629,-74.3646774,39.4798811,-74.3706919
05529VA.PDF,45.0,33.0,40.0036111111111,-74.7268888888889,40.4107657,-75.0873963,39.4620726,-75.0825401,40.4104657,-74.2782206,39.4617765,-74.2842643
05155R7.PDF,48.0,33.0,40.4797777777778,-74.6853055555556,40.9029455,-75.0942349,39.9512970,-75.0884864,40.9029454,-74.2763509,39.9512969,-74.2820997
05155R25.PDF,41.0,39.0,40.5730555555556,-74.5033333333333,40.9781806,-74.9733668,40.0345559,-74.9668923,40.9786232,-74.1615261,40.0349925,-74.1662344
00891IL10.PDF,45.0,33.0,39.367,-75.1979722222222,39.8375515,-75.6466754,38.8886751,-75.6406799,39.8378744,-74.8441178,38.8889938,-74.8488460
00891R10.PDF,45.0,33.0,39.3678055555556,-75.0722222222222,39.7632600,-75.5776727,38.8143694,-75.5709261,39.7639721,-74.7759636,38.8150722,-74.7799180
00891R14.PDF,40.6666666666667,35.3333333333333,39.4275,-75.1485,39.8523969,-75.5468801,38.9079400,-75.5417024,39.8523899,-74.7480164,38.9079332,-74.7532214
00891R28.PDF,40.6666666666667,35.3333333333333,39.3668888888889,-74.9370555555556,39.7521695,-75.2883193,38.8076563,-75.2837602,39.7518544,-74.4905725,38.8073451,-74.4963673
00891R32.PDF,40.6666666666667,35.3333333333333,39.2960833333333,-74.9793611111111,39.7862546,-75.3778191,38.8417615,-75.3726451,39.7862506,-74.5796916,38.8417576,-74.5848813
00891VA.PDF,45.0,33.0,39.5376666666667,-74.9671388888889,39.9283794,-75.3861027,38.9795248,-75.3804974,39.9284962,-74.5825043,38.9796402,-74.5876503
00931IYLY23.PDF,44.6666666666667,39.3333333333333,40.8798888888889,-74.3343055555556,41.2901890,-74.7618139,40.3459067,-74.7556506,41.2903275,-73.9453086,40.3460432,-73.9509167
00931IZLZ23.PDF,44.6666666666667,39.3333333333333,40.8798888888889,-74.3343055555556,41.2901890,-74.7618139,40.3459067,-74.7556506,41.2903275,-73.9453086,40.3460432,-73.9509167
00931RRY23.PDF,45.0,33.0,40.8809444444444,-74.3348333333333,41.2757300,-74.9434211,40.3275155,-74.9351212,41.2770829,-74.1240313,40.3288508,-74.1269063
00931R5.PDF,45.0,33.0,40.7363888888889,-74.4733333333333,41.1699911,-74.8773570,40.2216962,-74.8718553,41.1699569,-74.0592354,40.2216623,-74.0648743
00931RX23.PDF,45.0,33.0,40.8809444444444,-74.3348333333333,41.3145660,-74.8403519,40.3663709,-74.8334537,41.3152162,-74.0205004,40.3670127,-74.0247897
00931RZ23.PDF,45.0,33.0,40.8808333333333,-74.3348333333333,41.2853766,-74.8175894,40.3371607,-74.8110047,41.2858732,-73.9980878,40.3376508,-74.0026810
05871R8.PDF,45.0,33.0,39.95,-74.85,40.3199669,-75.3259985,39.3712432,-75.3195949,40.3204566,-74.5178747,39.3717265,-74.5223429
05871R26.PDF,45.0,33.0,39.95,-74.85,40.4151540,-75.1536734,39.4664606,-75.1495825,40.4144670,-74.3444492,39.4657826,-74.3512596
05871V26.PDF,45.0,33.0,40.0127222222222,-74.7486944444444,40.4076150,-75.0951984,39.4589200,-75.0905311,40.4072197,-74.2860600,39.4585300,-74.2922916
00285IL4R.PDF,45.0,33.0,40.6279722222222,-74.2095555555556,41.0717112,-74.6180192,40.1233556,-74.6124649,41.0717111,-73.8010666,40.1233555,-73.8066213
00285IL11.PDF,45.0,33.0,40.7083055555556,-74.2771666666667,41.0861118,-74.7036380,40.1377658,-74.6978376,41.0862336,-73.8865136,40.1378860,-73.8918269
00285IL22L.PDF,45.0,33.0,40.7645,-74.1198055555556,41.1347574,-74.5318358,40.1864406,-74.5262279,41.1347790,-73.7141334,40.1864620,-73.7196548
00285IL22R.PDF,45.0,33.0,40.7661111111111,-74.1217222222222,41.1544052,-74.5934765,40.2061038,-74.5870539,41.1548324,-73.7755379,40.2065254,-73.7802510
00285IZLZ4L.PDF,45.0,33.0,40.6279722222222,-74.2095555555556,41.0913472,-74.6181359,40.1430035,-74.6125784,41.0913471,-73.8009499,40.1430034,-73.8065078
00285I22LSAC1.PDF,45.0,33.0,40.7645,-74.1198055555556,41.1347574,-74.5318358,40.1864406,-74.5262279,41.1347790,-73.7141334,40.1864620,-73.7196548
00285IZ4LSAC1_2.PDF,45.0,33.0,40.6279722222222,-74.2095555555556,41.0913472,-74.6181359,40.1430035,-74.6125784,41.0913471,-73.8009499,40.1430034,-73.8065078
00285I4RC2_3.PDF,45.0,33.0,40.6279722222222,-74.2095555555556,41.0717112,-74.6180192,40.1233556,-74.6124649,41.0717111,-73.8010666,40.1233555,-73.8066213
00285I22LC2_3.PDF,45.0,33.0,40.7645,-74.1198055555556,41.1347574,-74.5318358,40.1864406,-74.5262279,41.1347790,-73.7141334,40.1864620,-73.7196548
00285GLS4L.PDF,45.0,33.0,40.592,-74.2323333333333,41.0859807,-74.6373884,40.1376336,-74.6318793,41.0859568,-73.8202665,40.1376100,-73.8258709
00285GLS4R.PDF,45.0,33.0,40.6046388888889,-74.2205555555555,41.0978039,-74.6276551,40.1494641,-74.6221173,41.0977935,-73.8103925,40.1494538,-73.8159721
00285GLS11.PDF,45.0,33.0,40.7096111111111,-74.2841944444444,41.0637962,-74.6607261,40.1154344,-74.6556065,41.0635792,-73.8438688,40.1152202,-73.8498557
00285GLS22L.PDF,45.0,33.0,40.7,-74.1666666666667,41.0830360,-74.5712488,40.1346871,-74.5657463,41.0830091,-73.7541618,40.1346605,-73.7597720
00285GLS22R.PDF,45.0,33.0,40.7661111111111,-74.1216944444444,41.0732996,-74.5910613,40.1249480,-74.5846786,41.0737138,-73.7740875,40.1253568,-73.7788145
00285RRY22L.PDF,45.0,33.0,40.7,-74.1666666666667,41.1062673,-74.4963336,40.1579295,-74.4918485,41.1057298,-73.6789738,40.1573989,-73.6856088
00285RRY29.PDF,45.0,33.0,40.7785277777778,-74.0917222222222,41.1103754,-74.6520488,40.1620517,-74.6444252,41.1114069,-73.8346316,40.1630698,-73.8381296
00285RRZ4R.PDF,45.0,33.0,40.6046388888889,-74.2205555555555,41.0978039,-74.6276551,40.1494641,-74.6221173,41.0977935,-73.8103925,40.1494538,-73.8159721
00285RRZ29.PDF,45.0,33.0,40.6425555555556,-74.1495833333333,40.9915494,-74.6864949,40.0431531,-74.6792023,40.9924265,-73.8704891,40.0440188,-73.8742799
00285R4L.PDF,45.0,33.0,40.5920833333333,-74.2323333333333,41.0860640,-74.6373889,40.1377169,-74.6318798,41.0860401,-73.8202660,40.1376934,-73.8258705
00285R11.PDF,45.0,33.0,40.71,-74.2898888888889,41.1326266,-74.6028120,40.1843045,-74.5985531,41.1319741,-73.7851394,40.1836605,-73.7920090
00285R22R.PDF,45.0,33.0,40.7654444444444,-74.1221388888889,41.1322131,-74.5460087,40.1838953,-74.5402398,41.1323153,-73.7283361,40.1839962,-73.7336958
00285RT29.PDF,45.0,33.0,40.64375,-74.1208333333333,40.9337333,-74.5133010,40.2698818,-74.5095574,40.9342435,-73.9425785,40.2703873,-73.9442788
00285RW29.PDF,45.0,33.0,40.74125,-74.0815555555556,41.1226034,-74.4624629,40.4588353,-74.4588196,41.1230547,-73.8901720,40.4592824,-73.8920025
00285RX29.PDF,45.0,33.0,40.6849166666667,-74.0819166666667,41.0000198,-74.6522870,40.0516306,-74.6445390,41.0011242,-73.8361799,40.0527206,-73.8395181
00285RY4R.PDF,45.0,33.0,40.5920833333333,-74.2323333333333,41.0859491,-74.6373883,40.1376019,-74.6318791,41.0859252,-73.8202666,40.1375784,-73.8258711
00285RZ22L.PDF,45.0,33.0,40.7645,-74.1198055555556,41.1101975,-74.5225724,40.1618651,-74.5170925,41.1101571,-73.7051626,40.1618253,-73.7108041
